,Month,Year,Type,Area,Sex,Fatal (Y/N)
592,December,2012,Unprovoked,Florida,M,N
593,September,2012,Unprovoked,Florida,M,N
594,June,2012,Unprovoked,South Carolina,M,N
595,March,2012,Unprovoked,Florida,M,N
596,July,2011,Unprovoked,Texas,M,N
597,July,2009,Unprovoked,Florida,F,N
598,June,2006,Provoked,Florida,M,N
599,May,2006,Unprovoked,Hawaii,M,N
600,October,2005,Provoked,Florida,M,N
601,August,2004,Unprovoked,Florida,F,N
602,March,2004,Unprovoked,Hawaii,F,N
603,September,2003,Unprovoked,Florida,M,N
604,August,2002,Unprovoked,Florida,M,N
605,March,2002,Unprovoked,Florida,M,N
606,August,2001,Unprovoked,Florida,M,N
607,October,2000,Unprovoked,Florida,M,N
608,August,2000,Provoked,Alaska,M,N
609,July,2000,Unprovoked,Texas,M,N
610,March,2000,Unprovoked,Louisiana,M,N
611,November,1998,Unprovoked,Florida,M,N
612,November,1996,Unprovoked,Florida,M,N
613,July,1996,Unprovoked,Florida,M,N
614,January,1996,Unprovoked,Hawaii,M,N
615,August,1995,Unprovoked,North Carolina,M,N
616,June,1993,Unprovoked,Hawaii,M,N
617,August,1992,Provoked,Florida,M,N
618,December,1989,Provoked,Hawaii,M,N
619,April,1989,Unprovoked,Hawaii,M,N
620,January,1989,Unprovoked,Hawaii,M,Y
621,March,1988,Unprovoked,Hawaii,M,N
622,April,1986,Unprovoked,Hawaii,M,Y
623,July,1985,Unprovoked,Florida,F,N
624,September,1984,Unprovoked,Florida,M,N
625,October,1982,Unprovoked,Florida,M,N
626,September,1982,Unprovoked,Florida,M,N
627,October,1981,Unprovoked,Florida,M,N
628,March,1981,Unprovoked,Florida,M,N
629,August,1980,Unprovoked,North Carolina,F,N
630,June,1978,Unprovoked,Florida,M,N
631,August,1976,Unprovoked,North Carolina,M,N
632,July,1974,Unprovoked,California,M,N
633,July,1969,Unprovoked,California,M,N
634,September,1966,Provoked,Hawaii,M,N
635,March,1964,Unprovoked,Florida,M,N
636,July,1962,Unprovoked,Georgia,M,N
637,May,1957,Unprovoked,Florida,M,N
638,February,1957,Unprovoked,Florida,M,N
639,August,1955,Provoked,California,M,N
640,April,2023,Unprovoked,Florida,M,N
641,March,2023,Unprovoked,Hawaii,M,N
642,June,2022,Unprovoked,Florida,M,N
643,April,2022,Unprovoked,Florida,M,N
644,August,2021,Unprovoked,Florida,M,N
645,April,2021,Unprovoked,Florida,M,N
646,September,2018,Unprovoked,Massachusetts,M,Y
647,March,2017,Unprovoked,Florida,M,N
648,September,2016,Unprovoked,Florida,M,N
649,August,2016,Unprovoked,Florida,M,N
650,November,2015,Unprovoked,Florida,M,N
651,October,2015,Unprovoked,Florida,M,N
652,September,2015,Unprovoked,Hawaii,M,N
653,June,2015,Unprovoked,South Carolina,M,N
654,October,2014,Unprovoked,Florida,F,N
655,September,2013,Unprovoked,Florida,M,N
656,October,2012,Unprovoked,California,M,N
657,September,2012,Unprovoked,Florida,M,N
658,September,2012,Unprovoked,Florida,M,N
659,July,2012,Unprovoked,Hawaii,M,N
660,June,2012,Unprovoked,Florida,M,N
661,March,2012,Unprovoked,Florida,M,N
662,July,2010,Unprovoked,Florida,M,N
663,August,2009,Unprovoked,California,M,N
664,May,2009,Provoked,Florida,M,N
665,April,2009,Unprovoked,California,M,N
666,September,2007,Unprovoked,California,F,N
667,July,2007,Unprovoked,Hawaii,M,N
668,April,2007,Unprovoked,Florida,M,N
669,October,2006,Unprovoked,Oregon,M,N
670,July,2006,Unprovoked,South Carolina,F,N
671,May,2004,Unprovoked,California,M,N
672,March,2004,Unprovoked,Florida,M,N
673,August,2003,Unprovoked,California,F,Y
674,July,2002,Unprovoked,North Carolina,F,N
675,August,2001,Unprovoked,Florida,M,N
676,October,1999,Unprovoked,Hawaii,M,N
677,November,1997,Unprovoked,Florida,M,N
678,October,1995,Unprovoked,Florida,M,N
679,August,1995,Unprovoked,North Carolina,M,N
680,July,1995,Unprovoked,Florida,M,N
681,November,1994,Unprovoked,Hawaii,F,N
682,May,1994,Unprovoked,Florida,M,N
683,March,1993,Unprovoked,California,M,N
684,October,1989,Unprovoked,Texas,M,N
685,August,1989,Unprovoked,Florida,M,N
686,April,1989,Unprovoked,Washington,M,N
687,October,1988,Unprovoked,Florida,M,N
688,July,1987,Unprovoked,Florida,M,N
689,July,1987,Unprovoked,Texas,F,N
690,October,1983,Unprovoked,Florida,M,N
691,July,1982,Unprovoked,Florida,F,N
692,June,1982,Unprovoked,South Carolina,M,N
693,May,1981,Unprovoked,Florida,M,N
694,March,1968,Unprovoked,Florida,M,N
695,January,1965,Provoked,California,M,N
696,January,1964,Unprovoked,California,M,N
697,June,1958,Provoked,Florida,M,N
698,August,2023,Unprovoked,New York,F,N
699,July,2023,Unprovoked,New York,M,N
700,May,2023,Unprovoked,Florida,M,N
701,July,2022,Unprovoked,New York,M,N
702,June,2022,Unprovoked,New York,M,N
703,April,2022,Provoked,New Jersey,F,N
704,November,2021,Unprovoked,Hawaii,F,N
705,July,2021,Unprovoked,Florida,M,Y
706,May,2021,Unprovoked,Florida,F,N
707,January,2021,Unprovoked,Hawaii,F,N
708,October,2020,Unprovoked,Florida,M,N
709,August,2020,Unprovoked,Florida,M,N
710,July,2020,Unprovoked,Maine,F,Y
711,August,2019,Provoked,Florida,M,N
712,June,2019,Unprovoked,Florida,M,N
713,August,2017,Provoked,Massachusetts,M,N
714,April,2017,Unprovoked,Florida,M,N
715,October,2015,Unprovoked,Hawaii,M,N
716,July,2015,Provoked,California,M,N
717,May,2015,Unprovoked,Florida,M,N
718,July,2014,Unprovoked,North Carolina,M,N
719,July,2014,Unprovoked,Hawaii,M,N
720,May,2014,Unprovoked,South Carolina,F,N
721,September,2013,Unprovoked,Florida,M,N
722,October,2011,Unprovoked,Oregon,M,N
723,July,2010,Unprovoked,South Carolina,M,N
724,November,2009,Unprovoked,Florida,F,N
725,September,2008,Unprovoked,Hawaii,M,N
726,July,2008,Unprovoked,South Carolina,M,N
727,April,2008,Unprovoked,California,M,Y
728,June,2007,Provoked,Florida,M,N
729,May,2006,Provoked,Hawaii,M,N
730,June,2005,Unprovoked,South Carolina,F,N
731,May,2005,Unprovoked,Florida,F,N
732,May,2004,Unprovoked,Texas,M,N
733,September,2003,Unprovoked,Florida,M,N
734,June,2003,Unprovoked,Florida,M,N
735,June,2003,Unprovoked,Johnston Atoll,M,N
736,April,2003,Unprovoked,Florida,M,N
737,November,2002,Unprovoked,Hawaii,F,N
738,August,2002,Unprovoked,Alabama,F,N
739,September,2001,Unprovoked,Virginia,M,Y
740,March,2001,Unprovoked,Florida,M,N
741,April,2000,Unprovoked,Florida,M,N
742,March,2000,Unprovoked,Florida,M,N
743,October,1995,Unprovoked,Florida,M,N
744,September,1995,Unprovoked,Florida,M,N
745,August,1995,Unprovoked,Florida,M,N
746,February,1994,Provoked,Hawaii,M,N
747,February,1991,Unprovoked,Oregon,M,N
748,July,1989,Unprovoked,Florida,M,N
749,September,1988,Unprovoked,Florida,M,N
750,August,1988,Unprovoked,California,M,N
751,May,1987,Unprovoked,Florida,M,N
752,November,1986,Unprovoked,Florida,M,N
753,June,1983,Unprovoked,Florida,M,N
754,February,1982,Unprovoked,California,M,N
755,August,1979,Unprovoked,Florida,M,N
756,August,1974,Unprovoked,California,M,N
757,July,1964,Provoked,Florida,M,N
758,August,1962,Unprovoked,New Jersey,M,N
759,June,1962,Unprovoked,California,M,N
760,August,1960,Unprovoked,New Jersey,M,N
761,June,1960,Unprovoked,Georgia,M,N
762,May,1960,Unprovoked,California,F,N
763,July,1958,Unprovoked,Florida,M,N
764,April,1957,Provoked,Florida,M,N
765,September,1953,Unprovoked,Hawaii,M,N
766,July,2022,Unprovoked,New York,M,N
767,March,2021,Unprovoked,Florida,M,N
768,July,2020,Unprovoked,Florida,F,N
769,April,2019,Unprovoked,Hawaii,M,N
770,October,2018,Unprovoked,California,M,N
771,August,2018,Unprovoked,North Carolina,M,N
772,September,2017,Unprovoked,Florida,M,N
773,September,2017,Unprovoked,Florida,M,N
774,April,2017,Unprovoked,Florida,F,N
775,September,2016,Unprovoked,Florida,M,N
776,November,2015,Unprovoked,Hawaii,M,N
777,September,2015,Provoked,California,M,N
778,May,2015,Unprovoked,Florida,F,N
779,March,2014,Unprovoked,Florida,M,N
780,September,2013,Unprovoked,Florida,M,N
781,September,2013,Unprovoked,Florida,M,N
782,August,2013,Unprovoked,Hawaii,M,N
783,August,2013,Unprovoked,Hawaii,F,N
784,September,2012,Unprovoked,Florida,M,N
785,July,2010,Unprovoked,North Carolina,F,N
786,September,2008,Unprovoked,Florida,M,N
787,April,2008,Provoked,Florida,M,N
788,February,2008,Unprovoked,Florida,M,N
789,August,2007,Unprovoked,Florida,F,N
790,June,2007,Unprovoked,Florida,F,N
791,March,2007,Provoked,Florida,M,N
792,September,2005,Unprovoked,Florida,M,N
793,February,2005,Provoked,Florida,M,N
794,August,2004,Unprovoked,Florida,M,N
795,July,2004,Unprovoked,Texas,F,N
796,May,2004,Unprovoked,Florida,M,N
797,October,2003,Unprovoked,Florida,M,N
798,May,2003,Unprovoked,Florida,M,N
799,August,2001,Unprovoked,Florida,M,N
800,June,2001,Unprovoked,South Carolina,F,N
801,July,2000,Unprovoked,Florida,M,N
802,September,1999,Unprovoked,Florida,M,N
803,September,1999,Provoked,Florida,M,N
804,June,1999,Unprovoked,Florida,M,N
805,March,1999,Unprovoked,Hawaii,F,Y
806,December,1997,Unprovoked,Florida,M,N
807,May,1997,Unprovoked,Florida,M,N
808,August,1995,Unprovoked,South Carolina,M,N
809,September,1994,Unprovoked,South Carolina,F,N
810,July,1989,Unprovoked,Texas,F,N
811,September,1988,Unprovoked,Florida,F,N
812,May,1988,Unprovoked,Florida,M,N
813,July,1984,Unprovoked,Florida,M,N
814,February,1982,Unprovoked,Hawaii,F,N
815,May,1981,Unprovoked,Hawaii,M,Y
816,April,1979,Unprovoked,Florida,M,N
817,August,1975,Unprovoked,Florida,M,N
818,November,1974,Unprovoked,Florida,M,N
819,May,1969,Provoked,Texas,M,N
820,August,1969,Provoked,Florida,M,N
821,June,1966,Unprovoked,Texas,M,N
822,August,1964,Unprovoked,Florida,M,N
823,July,1953,Provoked,California,M,N
824,July,1950,Unprovoked,Florida,M,N
825,June,2023,Unprovoked,Florida,M,N
826,October,2022,Provoked,Florida,M,N
827,June,2021,Unprovoked,North Carolina,F,N
828,August,2019,Unprovoked,Hawaii,F,N
829,May,2017,Provoked,South Carolina,F,N
830,July,2016,Provoked,Massachusetts,M,N
831,November,2015,Unprovoked,Florida,M,N
832,June,2015,Unprovoked,North Carolina,M,N
833,June,2015,Unprovoked,North Carolina,M,N
834,September,2014,Provoked,Florida,M,N
835,August,2014,Unprovoked,South Carolina,F,N
836,August,2014,Unprovoked,Florida,M,N
837,August,2013,Unprovoked,Florida,F,N
838,May,2013,Unprovoked,Hawaii,M,N
839,April,2013,Unprovoked,Florida,M,N
840,September,2011,Unprovoked,California,M,N
841,July,2011,Unprovoked,Texas,M,N
842,March,2011,Provoked,Texas,M,N
843,October,2010,Unprovoked,California,M,Y
844,November,2009,Unprovoked,California,M,N
845,May,2009,Unprovoked,Florida,M,N
846,September,2008,Unprovoked,California,M,N
847,April,2008,Unprovoked,Florida,M,N
848,August,2007,Unprovoked,South Carolina,M,N
849,August,2007,Unprovoked,South Carolina,M,N
850,March,2007,Unprovoked,Florida,M,N
851,August,2006,Unprovoked,Oregon,M,N
852,August,2006,Unprovoked,North Carolina,F,N
853,July,2006,Unprovoked,Florida,F,N
854,June,2005,Unprovoked,Florida,F,Y
855,May,2005,Unprovoked,Florida,M,N
856,July,2003,Provoked,Florida,M,N
857,July,2000,Unprovoked,Florida,F,N
858,July,2000,Unprovoked,Florida,F,N
859,October,1999,Unprovoked,Florida,M,N
860,November,1998,Unprovoked,Florida,M,Y
861,August,1997,Unprovoked,Florida,M,N
862,October,1996,Unprovoked,California,M,N
863,July,1996,Unprovoked,Florida,F,N
864,July,1995,Unprovoked,Florida,M,N
865,May,1994,Unprovoked,Florida,M,N
866,January,1993,Unprovoked,Oregon,M,N
867,October,1990,Unprovoked,Florida,M,N
868,October,1990,Unprovoked,Florida,M,N
869,September,1989,Unprovoked,North Carolina,M,N
870,August,1987,Unprovoked,Florida,M,N
871,September,1985,Unprovoked,California,M,N
872,January,1984,Unprovoked,Florida,M,N
873,October,1983,Unprovoked,Florida,M,N
874,November,1981,Unprovoked,Hawaii,M,N
875,July,1976,Unprovoked,Louisiana,M,N
876,May,1975,Unprovoked,Florida,F,N
877,July,1974,Unprovoked,Georgia,M,Y
878,April,1974,Unprovoked,Florida,F,N
879,August,1972,Unprovoked,Hawaii,M,N
880,August,1969,Unprovoked,Florida,M,N
881,July,1968,Unprovoked,Florida,M,N
882,June,1967,Provoked,Florida,M,N
883,August,1959,Unprovoked,Georgia,F,N
884,July,1959,Provoked,California,M,N
885,June,1959,Unprovoked,California,M,Y
886,December,1958,Unprovoked,Hawaii,M,Y
887,July,1950,Unprovoked,Texas,M,N
888,March,2023,Unprovoked,Florida,M,N
889,July,2021,Provoked,Florida,M,N
890,June,2019,Unprovoked,Georgia,M,N
891,February,2019,Unprovoked,Florida,M,N
892,September,2018,Unprovoked,California,M,N
893,November,2017,Unprovoked,California,M,N
894,April,2017,Unprovoked,Florida,F,N
895,October,2016,Unprovoked,Florida,M,N
896,May,2016,Provoked,Florida,F,N
897,September,2015,Unprovoked,Florida,M,N
898,December,2014,Unprovoked,California,M,N
899,August,2014,Unprovoked,North Carolina,M,N
900,March,2014,Unprovoked,Florida,M,N
901,July,2013,Unprovoked,South Carolina,M,N
902,April,2013,Unprovoked,Florida,M,N
903,July,2012,Unprovoked,Massachusetts,M,N
904,June,2012,Unprovoked,Hawaii,F,N
905,March,2012,Unprovoked,Florida,F,N
906,September,2011,Unprovoked,South Carolina,M,N
907,April,2011,Unprovoked,Florida,M,N
908,June,2010,Unprovoked,Florida,M,N
909,October,2009,Unprovoked,California,M,N
910,September,2009,Unprovoked,Florida,M,N
911,May,2009,Unprovoked,Florida,M,N
912,April,2009,Unprovoked,Florida,M,N
913,February,2008,Unprovoked,Florida,M,N
914,September,2007,Unprovoked,Florida,M,N
915,June,2007,Unprovoked,Florida,M,N
916,July,2006,Unprovoked,Florida,M,N
917,December,2005,Unprovoked,Hawaii,M,N
918,August,2005,Unprovoked,South Carolina,M,N
919,September,2003,Unprovoked,Florida,M,N
920,August,2003,Provoked,Texas,M,N
921,September,2001,Unprovoked,Florida,M,N
922,August,2001,Unprovoked,Florida,F,N
923,April,2001,Unprovoked,Florida,M,N
924,November,2000,Unprovoked,California,M,N
925,October,2000,Unprovoked,Florida,M,N
926,June,2000,Unprovoked,Florida,M,N
927,February,1996,Provoked,Missouri,F,N
928,August,1995,Unprovoked,Florida,M,N
929,August,1995,Unprovoked,Florida,M,N
930,July,1995,Provoked,Mississippi,F,N
931,May,1994,Unprovoked,Florida,M,N
932,October,1991,Unprovoked,Florida,M,N
933,January,1989,Unprovoked,California,F,Y
934,November,1986,Unprovoked,Florida,M,N
935,January,1986,Unprovoked,California,M,N
936,November,1984,Provoked,Florida,M,N
937,September,1984,Unprovoked,Florida,M,N
938,August,1983,Provoked,Florida,M,N
939,May,1983,Unprovoked,Florida,M,N
940,June,1977,Unprovoked,Texas,M,N
941,April,1977,Unprovoked,Hawaii,M,N
942,November,1975,Unprovoked,Florida,M,N
943,July,1975,Unprovoked,Florida,M,N
944,July,1966,Unprovoked,Texas,M,N
945,June,1961,Unprovoked,Florida,M,Y
946,June,1954,Provoked,California,M,N
947,October,1950,Unprovoked,California,M,N
948,June,1950,Unprovoked,New York,M,N
949,July,2023,Unprovoked,New York,M,N
950,April,2023,Unprovoked,Florida,M,N
951,November,2022,Provoked,Florida,M,N
952,July,2020,Unprovoked,Florida,M,N
953,March,2020,Unprovoked,California,M,N
954,October,2019,Unprovoked,Guam,M,N
955,July,2019,Unprovoked,Rhode Island,M,N
956,May,2018,Unprovoked,South Carolina,M,N
957,August,2017,Unprovoked,South Carolina,M,N
958,July,2017,Unprovoked,Florida,M,N
959,June,2017,Unprovoked,South Carolina,F,N
960,July,2016,Unprovoked,Florida,F,N
961,May,2016,Unprovoked,Florida,M,N
962,May,2015,Unprovoked,Florida,F,N
963,April,2015,Unprovoked,Hawaii,F,Y
964,January,2015,Provoked,Hawaii,M,N
965,August,2014,Unprovoked,South Carolina,M,N
966,April,2014,Unprovoked,Florida,M,N
967,March,2014,Unprovoked,Florida,M,N
968,June,2013,Unprovoked,Florida,M,N
969,September,2012,Unprovoked,Florida,F,N
970,December,2011,Provoked,Hawaii,M,N
971,February,2010,Provoked,Florida,M,N
972,August,2007,Unprovoked,Florida,F,N
973,July,2007,Unprovoked,North Carolina,M,N
974,April,2007,Unprovoked,Florida,M,N
975,July,2006,Unprovoked,Texas,M,N
976,March,2006,Unprovoked,Hawaii,F,N
977,November,2005,Unprovoked,Florida,M,N
978,July,2004,Unprovoked,North Carolina,F,N
979,July,2004,Unprovoked,Texas,M,N
980,November,2003,Unprovoked,Florida,M,N
981,August,2002,Unprovoked,Florida,M,N
982,July,2002,Unprovoked,South Carolina,M,N
983,September,2001,Unprovoked,Florida,M,N
984,April,2001,Unprovoked,Florida,M,N
985,April,2001,Unprovoked,Hawaii,M,N
986,October,2000,Unprovoked,Florida,M,N
987,August,2000,Unprovoked,Hawaii,M,N
988,April,1998,Provoked,Florida,M,N
989,October,1997,Unprovoked,Florida,M,N
990,October,1994,Provoked,Florida,F,N
991,May,1994,Unprovoked,Florida,M,N
992,April,1994,Unprovoked,Florida,M,N
993,August,1993,Unprovoked,North Carolina,F,N
994,November,1992,Unprovoked,California,M,N
995,October,1992,Unprovoked,California,M,N
996,November,1987,Unprovoked,Florida,M,N
997,September,1983,Unprovoked,Florida,M,N
998,October,1981,Unprovoked,Florida,M,N
999,September,1974,Unprovoked,California,M,N
1000,September,1974,Unprovoked,Oregon,M,N
1001,July,1971,Unprovoked,California,M,N
1002,May,1961,Unprovoked,California,M,N
1003,September,1960,Provoked,South Carolina,M,N
1004,October,1959,Unprovoked,California,M,N
1005,September,1958,Provoked,New York,M,N
1006,September,1955,Unprovoked,Hawaii,M,N
1007,July,2023,Unprovoked,Florida,M,N
1008,May,2023,Provoked,Florida,M,N
1009,December,2022,Unprovoked,Hawaii,F,Y
1010,October,2022,Unprovoked,Hawaii,M,N
1011,July,2021,Unprovoked,Georgia,M,N
1012,April,2021,Unprovoked,Florida,M,N
1013,March,2021,Unprovoked,Florida,M,N
1014,January,2021,Unprovoked,Florida,M,N
1015,September,2020,Unprovoked,Hawaii,F,N
1016,May,2020,Unprovoked,California,F,N
1017,December,2019,Unprovoked,Hawaii,M,N
1018,August,2019,Unprovoked,Florida,M,N
1019,May,2019,Unprovoked,Florida,M,N
1020,February,2019,Unprovoked,Hawaii,M,N
1021,July,2018,Provoked,California,F,N
1022,October,2017,Unprovoked,Hawaii,F,N
1023,May,2016,Unprovoked,California,F,N
1024,October,2015,Unprovoked,Texas,M,N
1025,October,2014,Unprovoked,Hawaii,F,N
1026,April,2014,Unprovoked,Florida,M,N
1027,November,2013,Unprovoked,New Jersey,M,N
1028,October,2013,Unprovoked,Hawaii,M,N
1029,September,2013,Provoked,Florida,M,N
1030,July,2013,Unprovoked,Hawaii,F,N
1031,July,2011,Unprovoked,New Jersey,M,N
1032,May,2011,Unprovoked,Florida,M,N
1033,May,2011,Unprovoked,Florida,M,N
1034,July,2010,Provoked,New York,M,N
1035,October,2009,Unprovoked,Hawaii,M,N
1036,July,2009,Unprovoked,Florida,F,N
1037,March,2009,Unprovoked,Hawaii,M,N
1038,September,2008,Unprovoked,Florida,M,N
1039,August,2008,Unprovoked,Florida,M,N
1040,August,2008,Unprovoked,Florida,F,N
1041,March,2007,Unprovoked,Florida,M,N
1042,June,2006,Unprovoked,South Carolina,F,N
1043,January,2006,Unprovoked,California,M,N
1044,August,2005,Unprovoked,California,M,N
1045,July,2005,Unprovoked,Texas,F,N
1046,February,2005,Unprovoked,Hawaii,M,N
1047,May,2004,Unprovoked,Texas,M,N
1048,March,2004,Unprovoked,Florida,M,N
1049,April,2003,Unprovoked,Florida,M,N
1050,March,2002,Unprovoked,Florida,M,N
1051,September,2001,Unprovoked,Florida,M,N
1052,August,2001,Unprovoked,Florida,M,N
1053,March,2000,Unprovoked,Florida,M,N
1054,September,1999,Unprovoked,Florida,M,N
1055,June,1999,Unprovoked,Florida,M,N
1056,November,1998,Unprovoked,Oregon,M,N
1057,March,1998,Unprovoked,Florida,M,N
1058,March,1998,Unprovoked,Florida,M,N
1059,September,1997,Unprovoked,Florida,M,N
1060,October,1996,Unprovoked,California,M,N
1061,August,1993,Unprovoked,Hawaii,M,N
1062,March,1992,Unprovoked,Hawaii,F,N
1063,May,1991,Unprovoked,Hawaii,M,N
1064,July,1988,Unprovoked,Florida,M,N
1065,November,1983,Unprovoked,Florida,M,N
1066,September,1981,Unprovoked,Florida,M,N
1067,September,1976,Unprovoked,Florida,M,Y
1068,September,1974,Unprovoked,California,M,N
1069,October,1967,Unprovoked,Florida,M,N
1070,June,1966,Provoked,New Jersey,M,N
1071,January,1966,Unprovoked,Florida,M,N
1072,August,1961,Unprovoked,California,M,N
1073,March,1960,Unprovoked,Florida,M,N
1074,August,1954,Unprovoked,Louisiana,F,N
1075,February,1953,Provoked,Hawaii,M,N
1076,May,2023,Unprovoked,South Carolina,F,N
1077,December,2022,Unprovoked,Samoa,M,N
1078,April,2022,Unprovoked,Alabama,M,N
1079,December,2021,Unprovoked,Hawaii,M,N
1080,January,2020,Unprovoked,North Carolina,M,N
1081,September,2019,Unprovoked,Florida,M,N
1082,August,2019,Unprovoked,Cayman Islands,M,N
1083,July,2019,Provoked,North Carolina,M,N
1084,October,2017,Unprovoked,Florida,M,N
1085,September,2015,Unprovoked,Florida,M,N
1086,July,2015,Unprovoked,North Carolina,M,N
1087,June,2015,Unprovoked,North Carolina,F,N
1088,August,2014,Unprovoked,Florida,M,N
1089,July,2014,Unprovoked,Florida,M,N
1090,August,2013,Unprovoked,South Carolina,M,N
1091,August,2011,Unprovoked,Texas,F,N
1092,May,2011,Unprovoked,Hawaii,F,N
1093,May,2011,Provoked,Florida,M,N
1094,June,2010,Unprovoked,Florida,F,N
1095,September,2008,Unprovoked,Florida,M,N
1096,August,2007,Unprovoked,Florida,M,N
1097,June,2006,Unprovoked,California,M,N
1098,September,2005,Unprovoked,South Carolina,M,Y
1099,October,2004,Unprovoked,California,M,N
1100,October,2003,Provoked,Florida,M,N
1101,July,2002,Provoked,Maryland,M,Y
1102,March,2002,Unprovoked,Florida,M,N
1103,August,2001,Unprovoked,Florida,M,N
1104,May,2001,Unprovoked,South Carolina,M,N
1105,April,2001,Unprovoked,Florida,M,N
1106,October,2000,Unprovoked,North Carolina,M,N
1107,September,2000,Unprovoked,Florida,M,N
1108,December,1999,Unprovoked,Florida,M,N
1109,December,1998,Provoked,Florida,M,N
1110,August,1998,Unprovoked,Florida,M,N
1111,August,1997,Unprovoked,Florida,M,N
1112,August,1997,Unprovoked,California,M,N
1113,September,1995,Unprovoked,Florida,M,N
1114,August,1995,Unprovoked,Florida,M,N
1115,September,1992,Unprovoked,Florida,F,N
1116,April,1990,Unprovoked,Hawaii,M,N
1117,April,1988,Unprovoked,Florida,M,N
1118,April,1987,Unprovoked,Texas,F,N
1119,October,1985,Provoked,Alabama,M,N
1120,December,1981,Unprovoked,Hawaii,M,N
1121,July,1981,Unprovoked,Florida,F,N
1122,July,1975,Unprovoked,California,M,N
1123,August,1973,Unprovoked,Virginia,M,N
1124,July,1968,Unprovoked,California,M,N
1125,June,1966,Provoked,Florida,M,N
1126,April,1965,Unprovoked,Florida,M,N
1127,August,1959,Provoked,South Carolina,M,N
1128,July,1958,Unprovoked,Florida,M,N
1129,February,1957,Unprovoked,Florida,M,N
1130,July,1952,Unprovoked,Puerto Rico,M,N
1131,January,1952,Unprovoked,Florida,M,Y
1132,January,1950,Unprovoked,Florida,M,N
1133,November,2022,Unprovoked,California,F,N
1134,May,2019,Unprovoked,California,F,N
1135,August,2018,Unprovoked,North Carolina,F,N
1136,August,2017,Unprovoked,Florida,F,N
1137,June,2017,Unprovoked,South Carolina,F,N
1138,April,2017,Unprovoked,California,F,N
1139,April,2017,Unprovoked,Florida,F,N
1140,June,2016,Unprovoked,Florida,M,N
1141,April,2016,Unprovoked,Florida,M,N
1142,January,2016,Unprovoked,Texas,M,N
1143,June,2015,Unprovoked,North Carolina,M,N
1144,November,2014,Unprovoked,Florida,M,N
1145,August,2014,Unprovoked,Louisiana,M,N
1146,July,2014,Unprovoked,California,M,N
1147,August,2013,Unprovoked,California,M,N
1148,July,2013,Unprovoked,North Carolina,F,N
1149,September,2012,Unprovoked,Florida,M,N
1150,August,2012,Unprovoked,Alabama,M,N
1151,May,2012,Unprovoked,Florida,M,N
1152,June,2011,Unprovoked,California,M,N
1153,July,2010,Unprovoked,California,M,N
1154,April,2010,Unprovoked,Hawaii,M,N
1155,May,2009,Unprovoked,Florida,M,N
1156,August,2008,Unprovoked,Florida,M,N
1157,June,2007,Unprovoked,California,F,N
1158,July,2006,Unprovoked,Florida,M,N
1159,July,2006,Unprovoked,South Carolina,M,N
1160,April,2006,Unprovoked,Florida,F,N
1161,November,2005,Unprovoked,Florida,M,N
1162,September,2005,Unprovoked,South Carolina,F,N
1163,August,2004,Unprovoked,California,M,Y
1164,July,2003,Unprovoked,Florida,M,N
1165,May,2003,Unprovoked,Florida,M,N
1166,October,2002,Unprovoked,Florida,M,N
1167,October,2002,Unprovoked,Florida,M,N
1168,September,2002,Unprovoked,Oregon,M,N
1169,September,2000,Unprovoked,California,M,N
1170,August,2000,Unprovoked,North Carolina,M,N
1171,July,2000,Unprovoked,North Carolina,F,N
1172,July,2000,Unprovoked,Florida,F,N
1173,June,1997,Unprovoked,Florida,M,N
1174,June,1996,Unprovoked,South Carolina,F,N
1175,August,1995,Unprovoked,Florida,M,N
1176,August,1995,Unprovoked,Florida,M,N
1177,December,1994,Unprovoked,California,M,Y
1178,September,1993,Unprovoked,Florida,M,N
1179,November,1992,Unprovoked,Florida,M,N
1180,January,1989,Unprovoked,Virginia,M,N
